silo : ['silo', 'silò', 'sílo']
sama : ['samá', 'samâ', 'sáma']
sanap : ['sanáp', 'sánap']
sibo : ['síbo', 'sibó', 'sibò']
simple : ['simple', 'símple']
sadsad : ['sadsád', 'sádsad']
salog : ['salóg', 'sálog']
sapot : ['sápot', 'sapót']
sura : ['súra', 'surà', 'surâ']
sorib : ['sórib', 'soríb']
sagap : ['ságap', 'sagáp']
salangat : ['salangát', 'salángat']
sumpa : ['sumpà', 'súmpa', 'sumpâ']
sirha : ['sirhâ', 'sirhá']
sabat : ['sábat', 'sabát']
salaksak : ['saláksak', 'salaksák']
sabut : ['sabút', 'sábut']
sipa : ['sipà', 'sípa', 'sipâ']
saog : ['sáog', 'saóg']
sulit : ['sulít', 'súlit']
sagop : ['ságop', 'sagóp']
suli : ['sulî', 'súli']
sipan : ['sípan', 'sipán']
sayang : ['sáyang', 'sayáng']
sakub : ['sákub', 'sakúb']
sungay : ['sungáy', 'súngay']
salanggapang : ['sálanggapáng', 'salanggápang']
suri : ['surì', 'surí']
surog : ['suróg', 'súrog']
salaw : ['saláw', 'sálaw']
sari : ['sarì', 'sári']
sukot : ['súkot', 'sukót']
somang : ['sómang', 'sománg']
sangi : ['sangí', 'sangì', 'sángi']
surot : ['surót', 'súrot']
sapnot : ['sápnot', 'sapnót']
sola : ['solà', 'sóla', 'solâ']
saba : ['sabá', 'sabà']
sunodamo : ['sunodamò', 'sunodamó']
solar : ['solár', 'sólar']
sangga : ['sángga', 'sanggá', 'sanggà']
saya : ['sayá', 'sáya']
sapok : ['sápok', 'sapók']
sipo : ['sipò', 'sipô']
suloy : ['sulóy', 'súloy']
suga : ['súga', 'sugà', 'sugâ', 'sugá']
sanhi : ['sanhî', 'sanhí']
sungal : ['súngal', 'sungál']
sinsin : ['sinsín', 'sínsin']
saray : ['saráy', 'sáray']
sukal : ['sukál', 'súkal']
sangat : ['sangát', 'sángat']
sikat : ['síkat', 'sikát']
sima : ['simà', 'simâ']
songi : ['sóngi', 'songí']
saot : ['sáot', 'saót']
siba : ['sibà', 'síba']
sugot : ['súgot', 'sugót']
suwal : ['súwal', 'suwál']
sikdo : ['sikdò', 'sikdó']
sabet : ['sabét', 'sábet']
sungsong : ['sungsóng', 'súngsong']
soa : ['soà', 'soâ']
soro : ['sorò', 'sorô', 'sóro']
sirok : ['sirók', 'sírok']
saksi : ['sáksi', 'saksí']
salawsaw : ['salawsáw', 'saláwsaw']
sasa : ['sasâ', 'sása', 'sasà', 'sasá']
sabang : ['sábang', 'sabáng']
siksik : ['síksik', 'siksík']
suso : ['súso', 'susô']
subay : ['súbay', 'subáy']
santing : ['sánting', 'santíng']
sanip : ['saníp', 'sánip']
sangay : ['sángay', 'sangáy']
sanay : ['sanáy', 'sánay']
seda : ['séda', 'sedâ']
supak : ['supák', 'súpak']
sumbol : ['sumból', 'súmbol']
sangka : ['sangká', 'sángka']
sambong : ['sambóng', 'sámbong']
suhi : ['suhî', 'suhí']
sabot : ['sabót', 'sábot', 'sabot']
salapi : ['salapî', 'salapì']
suka : ['súka', 'suká', 'sukà']
sina : ['sína', 'sinâ', 'siná']
siyasat : ['siyásat', 'siyasát']
suong : ['suóng', 'súong']
sagunson : ['sagunsón', 'sagúnson']
saklay : ['sáklay', 'sakláy']
subo : ['subó', 'subô', 'súbo', 'subò']
salmagi : ['salmági', 'salmagì']
sagaak : ['sagáak', 'sagaák']
sidsid : ['sídsid', 'sidsíd']
siling : ['silíng', 'síling']
salakot : ['salakót', 'salákot']
sibug : ['síbug', 'sibúg']
saad : ['sáad', 'saád']
sosop : ['sosóp', 'sósop']
sundang : ['súndang', 'sundáng']
sagana : ['saganà', 'saganâ', 'sagána', 'saganá']
sanggot : ['sanggót', 'sánggot']
silam : ['silám', 'sílam']
sugid : ['súgid', 'sugíd']
sigla : ['siglà', 'siglá']
sipi : ['sipí', 'sipì']
sara : ['sára', 'sará', 'sarà']
suliling : ['sulilíng', 'sulíling']
suksok : ['súksok', 'suksók']
sablag : ['sáblag', 'sablág']
sino : ['síno', 'sinô']
sibil : ['sibíl', 'síbil']
supot : ['súpot', 'supót']
selang : ['sélang', 'seláng']
saliksik : ['salíksik', 'saliksík']
siklat : ['síklat', 'siklát']
singko : ['singkô', 'síngko']
sanlag : ['sánlag', 'sanlág']
sagsag : ['ságsag', 'sagság']
sikwan : ['síkwan', 'sikwán']
sika : ['siká', 'síka']
sarol : ['saról', 'sárol']
sula-sulasihan : ['sula-sulasíhan', 'súla-sulasíhan']
sita : ['sitá', 'síta']
sunog : ['sunóg', 'súnog']
solpa : ['solpá', 'solpâ']
segment : ['segmént', 'ségment']
sugi : ['sugí', 'súgi']
sago : ['sagó', 'ságo']
sayag : ['sayág', 'sáyag']
sigid : ['sígid', 'sigíd']
sabak : ['sábak', 'sabák']
sayaw : ['sayáw', 'sáyaw']
salop : ['salóp', 'sálop']
sulong : ['súlong', 'sulóng']
salap : ['saláp', 'sálap']
sibog : ['sibóg', 'síbog']
sapata : ['sapáta', 'sapatá']
silay : ['siláy', 'sílay']
samba : ['sámba', 'sambá']
sungaw : ['súngaw', 'sungáw']
sabog : ['sábog', 'sabóg']
subad : ['súbad', 'subád']
sadya : ['sadyâ', 'sadyà']
salaguma : ['salagumá', 'salagumà']
sakol : ['sakól', 'sákol']
salba : ['salbá', 'sálba']
sibay : ['síbay', 'sibáy']
sumbal : ['sumbál', 'súmbal']
salubong : ['salúbong', 'salubóng']
saway : ['sáway', 'sawáy']
sapol : ['sapól', 'sápol']
salig : ['sálig', 'salíg']
sipol : ['sipól', 'sípol']
siklot : ['siklót', 'síklot']
sinuman : ['sinúman', 'sínumán']
signal : ['sígnal', 'signál']
sila : ['silà', 'silá']
