yasang : ['yasáng', 'yásang']
yangkaw : ['yángkaw', 'yangkáw']
yari : ['yarî', 'yarì', 'yári', 'yarí']
yaya : ['yáya', 'yayà']
yabyab : ['yabyáb', 'yábyab']
yakis : ['yákis', 'yakís']
yangot : ['yángot', 'yangót']
yamukmok : ['yamúkmok', 'yamukmók']
yama : ['yáma', 'yamà']
yapak : ['yápak', 'yapák']
yamot : ['yamót', 'yámot']
yaon : ['yaón', 'yáon']
yapyap : ['yápyap', 'yapyáp']
yamo : ['yamó', 'yamò']
yupi : ['yupì', 'yupî']
Yawa! : ['Yawà!', 'Yawâ!']
